source,img,eps_chk,lgc_emp,dot12,sq_a,sq_b,mu_sq,sig2
ARES_ConvNeXt_B,31,0.0156862745098039,0.9908586740493774,0.0001184198408736,0.0001207213281304,0.0001202752828248,0.0001184151697088,9.186523070026098e-13
ARES_ConvNeXt_B,31,0.0313725490196078,0.9579163789749146,0.0001203057618113,0.0001294141402468,0.0001301482552662,0.0001184151697088,9.186523070026098e-13
ARES_ConvNeXt_B,32,0.0019607843137254,0.9998623728752136,0.0017152223736047,0.0017151947831735,0.0017161926953122,0.0017132185166701,1.2514769602567366e-11
ARES_ConvNeXt_B,32,0.0039215686274509,0.9994432330131532,0.0017146170139312,0.0017160045681521,0.0017170247156172,0.0017132185166701,1.2514769602567366e-11
ARES_ConvNeXt_B,32,0.0078431372549019,0.9977866411209106,0.0017064983258023,0.0017150205094367,0.0017130257328972,0.0017132185166701,1.2514769602567366e-11
ARES_ConvNeXt_B,32,0.0156862745098039,0.9910680651664734,0.0016881920164451,0.0017180815339088,0.0017178616253659,0.0017132185166701,1.2514769602567366e-11
ARES_ConvNeXt_B,32,0.0313725490196078,0.9640504717826844,0.0016530960565432,0.0017652249662205,0.0017599832499399,0.0017132185166701,1.2514769602567366e-11
ARES_ConvNeXt_B,33,0.0019607843137254,0.9998392462730408,0.024588406085968,0.0246151443570852,0.0245773047208786,0.0245947521179914,2.1142544659458198e-10
ARES_ConvNeXt_B,33,0.0039215686274509,0.9993669390678406,0.0245536807924509,0.0245579481124877,0.0246121678501367,0.0245947521179914,2.1142544659458198e-10
ARES_ConvNeXt_B,33,0.0078431372549019,0.9974766969680786,0.0244577210396528,0.0245516803115606,0.0246056076139211,0.0245947521179914,2.1142544659458198e-10
ARES_ConvNeXt_B,33,0.0156862745098039,0.99003928899765,0.0238101463764905,0.0243361704051494,0.0242179203778505,0.0245947521179914,2.1142544659458198e-10
ARES_ConvNeXt_B,33,0.0313725490196078,0.9620330929756165,0.0221253763884305,0.0237277634441852,0.0237836372107267,0.0245947521179914,2.1142544659458198e-10
ARES_ConvNeXt_B,34,0.0019607843137254,0.9998529553413392,0.0095739988610148,0.0095816478133201,0.0095720086246728,0.0095558306202292,7.442448740624386e-11
ARES_ConvNeXt_B,34,0.0039215686274509,0.9994203448295592,0.009564371779561,0.009572897106409,0.0095783444121479,0.0095558306202292,7.442448740624386e-11
ARES_ConvNeXt_B,34,0.0078431372549019,0.9976717233657836,0.0094870524480938,0.0095293372869491,0.0095334816724061,0.0095558306202292,7.442448740624386e-11
ARES_ConvNeXt_B,34,0.0156862745098039,0.9907044768333436,0.0093328999355435,0.0095070302486419,0.0094929058104753,0.0095558306202292,7.442448740624386e-11
ARES_ConvNeXt_B,34,0.0313725490196078,0.9641698002815248,0.0087153492495417,0.0092674931511282,0.0093448860570788,0.0095558306202292,7.442448740624386e-11
