source,mode,n_img,c,c_raw,cos_lin,g_r,kappa_eff,a,b,rho,gcr,crossover,tau_star,V_over_m,norm_ratio,bias_disp,res_draw,res_mean
Singh2023Revisiting_ViT-B-ConvStem,di09,380,0.7766493689268827,0.7766112682850738,0.5644823555099336,0.9889671379659881,17.408481434654544,1.0115840231584987,0.02510849544926448,1517.3986397601332,0.9993414114226564,yes,0.5860011024780838,0.0008471586942852405,0.9938004597964363,0.6073624629816201,1.0806133185239906,2.169207984231172
Singh2023Revisiting_ViT-B-ConvStem,full_di,380,0.7059187495884927,0.7058640129374046,0.5384110922361479,1.1499773944228417,18.566319182471236,1.010630306362085,0.014530323521536208,1517.3986397601332,0.9993414114226564,yes,0.4856851378708315,0.0009035032018930069,1.071649867494018,0.7891746352211365,1.0379791363020938,2.321259223457645
Singh2023Revisiting_ViT-B-ConvStem,resize,380,0.8541644637387148,0.85415632993375,0.891091839111361,1.2430984017543814,6.850099561291909,1.0036216701921017,0.01498725742722519,1517.3986397601332,0.9993414114226564,yes,0.7228250043292537,0.0003333502363115862,1.1141945170699907,0.616274574977988,0.5243106222310783,0.6460393541462185
Singh2023Revisiting_ViT-B-ConvStem,translation,380,0.7535993123721135,0.7535944629264505,0.12491238281424889,0.9285621488682302,28.27896348252721,1.0200186914012421,0.07823761235600987,1517.3986397601332,0.9993414114226564,yes,0.5199449448996567,0.001376155058068863,0.9629722033041515,0.5843441563680111,1.2873531615210618,3.76738072515347
Swin_B_ImageNet,di09,409,0.17962781320927176,0.24203908775163435,0.14488944110675764,0.3880374722141364,0.03635199240735691,1.0,0.13530351031814605,0.1980139848908925,0.16528520316808018,no,,7.280847610486785,0.35525552559887863,0.9846098772684649,1.139698462338236,2.0392452758394275
Swin_B_ImageNet,full_di,409,0.10526347595032456,0.0903954654926329,0.07131359499735722,0.6241466921976373,0.06914463663247677,1.152054572898844,0.08067373745718733,0.1980139848908925,0.16528520316808018,no,,13.848802474487234,0.45055451366358884,1.046596153542066,1.0531903834181056,2.7377396375963463
Swin_B_ImageNet,resize,409,0.28595442953690303,0.2953679610051165,0.313029626443866,2.0774605511546405,0.056348028837380285,1.0,0.029239771510598724,0.1980139848908925,0.16528520316808018,yes,0.054112398427075076,11.285802618985254,0.8219973190232047,1.0915976260909606,1.0088473228621528,1.3871546277744067
Swin_B_ImageNet,translation,409,0.09879428331474349,0.0818858831097778,0.0015450702547659232,0.5302612625598627,0.06392980790671546,1.1269059987865648,0.09543368530101118,0.1980139848908925,0.16528520316808018,no,,12.804337762853626,0.415287595412693,1.027952043050842,1.1836193903716086,2.2180861624961032
ViT_B_16_ImageNet,di09,404,0.3707435311689641,0.3649550960237843,0.2664305096893285,0.2578585293419828,0.5164632376167898,1.18620088771815,0.12568278279098194,10.081643505403258,0.9097606776907763,yes,0.01109644715915423,0.7723543266613626,0.4857396444806722,0.8978774280813558,1.1679329590503345,1.7581088371564546
ViT_B_16_ImageNet,full_di,404,0.2940845726885473,0.28361426587193506,0.2306716266263387,0.3068345280940611,0.5324854144301108,1.16141515753252,0.10808548548776654,10.081643505403258,0.9097606776907763,no,,0.7963149819083946,0.5298646110201725,0.9441521074368298,1.133036408046783,1.8324808094702927
ViT_B_16_ImageNet,resize,404,0.720058120980785,0.7099080248551425,0.7360894909326798,1.212046909801878,0.11895030597568325,1.0055191872971423,0.04249753958616067,10.081643505403258,0.9097606776907763,yes,0.49426319661203433,0.17788639497740938,1.0531070356473942,0.7731689031272779,0.7146268297539251,0.8678046300947866
ViT_B_16_ImageNet,translation,404,0.18655363271026734,0.1793963746916927,0.013673035137754114,0.31988681051258605,0.7877591008041093,1.2218266210405113,0.22624134698228895,10.081643505403258,0.9097606776907763,no,,1.178068651469761,0.5410170684284398,0.9943378721334689,1.2335177243061985,2.705544827823442
